object,day,profile_valid,profile_mean,profile_spatial_std,profile_amplitude,axis_lat,centroid_lat,spread_lat,NS_contrast,raw_profile_daily_speed
V,52,True,2.1932063137348927,0.7508712322583634,2.445960554248514,22.0,19.626202919714,5.305014816053991,0.01919665558591932,0.04922341058242913
V,53,True,2.1946144103676226,0.7472399228877092,2.4431099435305907,22.0,19.555794437287535,5.311025062825355,-0.026450842441581468,0.02678067783913724
V,54,True,2.1735466850671035,0.7437307027659442,2.438229190955439,22.0,19.54070966710142,5.307148169844626,-0.032598601603952115,0.022719595777830226
V,55,True,2.147620011413763,0.7391572823086642,2.43331835618098,22.0,19.512244704076213,5.300464298098733,-0.04956675948492517,0.028833237705688585
V,56,True,2.157776698136201,0.7255157294137209,2.3733923769651004,22.0,19.64220863140794,5.32875252777037,0.023972822109659564,0.047781739843192304
V,57,True,2.186748215200216,0.7430700339969682,2.44834777214244,22.0,19.65492984908784,5.3217663694861965,0.04132689290553726,0.039145266070650574
V,58,True,2.2044653522674746,0.7536459939813758,2.5022842488141284,22.0,19.601652481627358,5.31703936204586,0.015504121962915285,0.028913329577575014
V,59,True,2.1927742090756133,0.7485687431344032,2.4801544525688817,22.0,19.597507100490347,5.318363442771645,0.011911845594490877,0.013608174729597784
V,60,True,2.192542031222349,0.737064181100765,2.419873106090911,22.0,19.650300231305973,5.334489570700024,0.038494079534245884,0.02089785249189498
V,61,True,2.228487564358401,0.7304988661988564,2.365336897748765,22.0,19.763959219560054,5.362004951770153,0.10317850571408771,0.052536830705295134
V,62,True,2.305415142687935,0.7496945542142074,2.3964804545282,22.0,19.8832091005722,5.374611188423757,0.1853735994107999,0.09030569704901689
V,63,True,2.388698454947112,0.7803541339960022,2.4758699104849744,22.0,19.950656819997135,5.3723748467213355,0.24355648363462334,0.09293700110885054
V,64,True,2.477373481672562,0.8166033704770758,2.571382070881373,22.0,19.980854852241674,5.36197335391273,0.27868669606952867,0.09691974222790867
V,65,True,2.55409675428138,0.8510972248447184,2.7047887404523676,22.0,19.92061480912483,5.348011406498873,0.24913681608306604,0.08816656330854843
V,66,True,2.609751806103421,0.887552278713966,2.811215117110608,22.0,19.906718091514076,5.322106927900548,0.2491462393151891,0.06914852691380238
V,67,True,2.6608176130205186,0.9340459317313851,2.9169541479575822,22.0,19.97125327528723,5.28542967860606,0.308959355434149,0.07635678664485256
V,68,True,2.7182219105971135,0.9905921274065046,3.064681937793911,22.0,20.00803898909634,5.242295802435322,0.35535827777402185,0.08413631902264591
V,69,True,2.7967335538293168,1.0395946185339906,3.1777486046783707,22.0,20.088028007600364,5.221720867105714,0.43779221467369345,0.09908600106037466
V,70,True,2.849020871560431,1.0858354409502649,3.299392090212344,22.0,20.15954351373126,5.195266974910072,0.5215855334871069,0.07829210417350324
V,71,True,2.886621142530204,1.1196852991312525,3.384983028976066,22.0,20.22241286029455,5.178911971773958,0.5965842040999569,0.06192494836651621
V,72,True,2.946731540728272,1.1374347891422023,3.4065066751936013,22.0,20.300043233178023,5.191725387086375,0.6777106839414864,0.07516184572769767
V,73,True,3.018062992305703,1.1488377457464436,3.363025527377536,22.0,20.43330341355003,5.221192834662536,0.8062858632095469,0.1046854350106575
V,74,True,3.0801946017994926,1.1666469695486048,3.3247311669382533,22.0,20.56542278871235,5.240511159886647,0.9388910996727082,0.10248080456357637
H,0,False,,,,,,,,
H,1,False,,,,,,,,
H,2,False,,,,,,,,
H,3,False,,,,,,,,
H,4,True,5796.88015022787,79.79272884887669,238.59187761253543,15.0,24.914447784219178,6.314361413235121,-134.2900014686793,
H,5,True,5798.265873960509,78.82856813325911,235.45888598142028,15.0,24.91551863183072,6.314472501617714,-132.67306200585608,1.691358758947779
H,6,True,5799.273637872049,78.22757301679434,233.51725651998368,15.0,24.91622656288067,6.314455856553226,-131.5002587596682,1.1952935165313028
H,7,True,5799.914280269382,78.02096786375864,233.00420016532098,15.0,24.916524405716817,6.314338629882572,-130.8980189528129,0.7499039558858795
H,8,True,5800.308881319539,78.08082536467683,233.44454872669485,15.0,24.916512854203493,6.314224343224819,-130.8078476367209,0.4734362115157007
