window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W113,V-H,exploratory_full_pair,mid,1988,-0.04180763174501684,-0.041807631745016886,-1.0,B_earlier,115.0,114.0
W113,V-H,exploratory_full_pair,mid,2010,0.07052921734025899,0.07052921734025894,1.0,A_earlier,112.0,113.0
W113,V-H,exploratory_full_pair,mid,1993,0.10470369570469067,0.10470369570469061,2.0,A_earlier,108.0,110.0
W113,V-H,exploratory_full_pair,mid,1982,0.11002707845752502,0.11002707845752496,1.0,A_earlier,113.0,114.0
W113,V-H,exploratory_full_pair,mid,2015,0.13824179235700745,0.1382417923570074,-3.0,B_earlier,111.0,108.0
W113,V-H,exploratory_full_pair,mid,2003,0.28262100152497144,0.2826210015249714,13.0,A_earlier,108.0,121.0
W113,V-H,exploratory_full_pair,mid,1983,0.4261460683364403,0.42614606833644025,2.0,A_earlier,109.0,111.0
W113,V-H,exploratory_full_pair,mid,2011,0.44388900940411874,0.4438890094041187,1.0,A_earlier,110.0,111.0
W113,V-H,exploratory_full_pair,high,2009,0.5858686978098336,0.5858686978098336,3.0,A_earlier,115.0,118.0
W113,V-H,exploratory_full_pair,high,2007,0.6034032496149189,0.6034032496149189,-4.0,B_earlier,111.0,107.0
W113,V-H,exploratory_full_pair,high,1979,0.6318897210468212,0.6318897210468212,1.0,A_earlier,112.0,113.0
W113,V-H,exploratory_full_pair,high,1984,0.6489667586161331,0.6489667586161331,8.0,A_earlier,113.0,121.0
W113,V-H,exploratory_full_pair,high,2006,0.7004580460877363,0.7004580460877363,2.0,A_earlier,105.0,107.0
W113,V-H,exploratory_full_pair,high,1987,0.7096981099669651,0.7096981099669651,2.0,A_earlier,107.0,109.0
W113,V-H,exploratory_full_pair,high,2019,0.765440399992552,0.765440399992552,10.0,A_earlier,112.0,122.0
W113,V-H,exploratory_full_pair,high,2013,0.8435922535311687,0.8435922535311687,1.0,A_earlier,107.0,108.0
W113,V-H,exploratory_full_pair,high,2020,0.9057599370579241,0.9057599370579241,7.0,A_earlier,109.0,116.0
W113,V-H,exploratory_full_pair,high,2008,1.1079019650372628,1.1079019650372628,8.0,A_earlier,106.0,114.0
W113,V-H,exploratory_full_pair,high,2001,1.119381478246093,1.119381478246093,11.0,A_earlier,109.0,120.0
W113,V-H,exploratory_full_pair,high,2016,1.3281977044993523,1.3281977044993523,8.0,A_earlier,109.0,117.0
W113,V-H,exploratory_full_pair,high,1998,1.3872312414913526,1.3872312414913526,0.0,same_day,119.0,119.0
W113,V-H,exploratory_full_pair,high,2002,1.6302260865080815,1.6302260865080815,9.0,A_earlier,105.0,114.0
W113,V-H,exploratory_full_pair,high,2022,2.669910162599411,2.669910162599411,5.0,A_earlier,111.0,116.0
W113,V-Je,priority,low,2021,-2.2730682214326055,-2.273068221432606,-15.0,B_earlier,117.0,102.0
W113,V-Je,priority,low,1989,-1.4797675639854897,-1.47976756398549,-9.0,B_earlier,117.0,108.0
W113,V-Je,priority,low,1981,-1.3633032141571382,-1.3633032141571384,-10.0,B_earlier,118.0,108.0
W113,V-Je,priority,low,2010,-1.1597698039678355,-1.1597698039678357,-7.0,B_earlier,112.0,105.0
W113,V-Je,priority,low,2017,-1.1050443494797688,-1.105044349479769,-1.0,B_earlier,111.0,110.0
W113,V-Je,priority,low,2023,-1.0736973101840024,-1.0736973101840026,-10.0,B_earlier,120.0,110.0
W113,V-Je,priority,low,1990,-1.0434876453126563,-1.0434876453126565,-2.0,B_earlier,115.0,113.0
W113,V-Je,priority,low,1991,-0.9922228972259926,-0.9922228972259928,-8.0,B_earlier,112.0,104.0
W113,V-Je,priority,low,2003,-0.9805198874011103,-0.9805198874011105,8.0,A_earlier,108.0,116.0
