window,sector,lat,value
S3,mid_sector,24.75,5.578298404524062
S3,mid_sector,25.0,4.688013392149371
S3,mid_sector,25.25,4.278078284077585
S3,mid_sector,25.5,4.010504115172962
S3,mid_sector,25.75,3.803622223314827
S3,mid_sector,26.0,3.9785693434915412
S3,mid_sector,26.25,4.052560179740999
S3,mid_sector,26.5,4.357607337942242
S3,mid_sector,26.75,4.618010792023458
S3,mid_sector,27.0,4.980937913824009
S3,mid_sector,27.25,5.398216635649881
S3,mid_sector,27.5,5.748067753478626
S3,mid_sector,27.75,6.109303242436163
S3,mid_sector,28.0,6.800070714766893
S3,mid_sector,28.25,7.046408584990326
S3,mid_sector,28.5,7.367752869330514
S3,mid_sector,28.75,8.089476824178815
S3,mid_sector,29.0,8.206191601110387
S3,mid_sector,29.25,8.406346896013803
S3,mid_sector,29.5,8.905006671500502
S3,mid_sector,29.75,9.30259209283899
S3,mid_sector,30.0,9.367301916503907
S3,mid_sector,30.25,9.50703546080413
S3,mid_sector,30.5,10.084082875531982
S3,mid_sector,30.75,9.730792476239616
S3,mid_sector,31.0,9.935258640863866
S3,mid_sector,31.25,9.742236040261355
S3,mid_sector,31.5,9.398614167116895
S3,mid_sector,31.75,9.127896344050654
S3,mid_sector,32.0,8.942759105380965
S3,mid_sector,32.25,8.82062826918614
S3,mid_sector,32.5,8.7317529672034
S3,mid_sector,32.75,8.540545361733143
S3,mid_sector,33.0,8.528887199948157
S3,mid_sector,33.25,8.493041211728698
S3,mid_sector,33.5,8.307411412651158
S3,mid_sector,33.75,8.033727813777215
S3,mid_sector,34.0,7.632351661927021
S3,mid_sector,34.25,7.1833804496199996
S3,mid_sector,34.5,6.8592414629806715
S3,mid_sector,34.75,6.662808819759038
S3,mid_sector,35.0,6.338428154980696
S3,mid_sector,35.25,6.191509131113689
S3,mid_sector,35.5,5.9877272144176334
S3,mid_sector,35.75,5.723481046690763
S3,mid_sector,36.0,5.4503423221070095
S3,mid_sector,36.25,5.274199900591814
S3,mid_sector,36.5,5.1537581059491195
S3,mid_sector,36.75,5.049763422610438
S3,mid_sector,37.0,4.9022209823514205
S3,mid_sector,37.25,4.747968506038338
S3,mid_sector,37.5,4.580131547602901
S3,mid_sector,37.75,4.440661738690036
S3,mid_sector,38.0,4.474922527350909
S3,mid_sector,38.25,4.387170991657398
S3,mid_sector,38.5,4.3589286080536995
S3,mid_sector,38.75,4.491923144276938
S3,mid_sector,39.0,4.579654883405898
S3,mid_sector,39.25,4.479736143776221
S3,mid_sector,39.5,4.5492359747710065
S3,mid_sector,39.75,4.692413820262016
S3,mid_sector,40.0,4.547025325624442
S3,mid_sector,40.25,4.481253269675926
S3,mid_sector,40.5,4.509019173016962
S3,mid_sector,40.75,4.33338595142129
S3,mid_sector,41.0,4.183709468737943
S3,mid_sector,41.25,4.2323519461831935
S3,mid_sector,41.5,4.028118414758753
S3,mid_sector,41.75,3.77970538302763
S3,mid_sector,42.0,3.701558197228702
S3,mid_sector,42.25,3.3598993957802104
S3,mid_sector,42.5,3.1330480302881307
S3,mid_sector,42.75,2.9792036389574585
S3,mid_sector,43.0,2.7367992933862006
S3,mid_sector,43.25,2.6064889165054135
S3,mid_sector,43.5,2.681688692097605
S3,mid_sector,43.75,2.6916912405508535
S3,mid_sector,44.0,2.685545545582712
S3,mid_sector,44.25,2.761397446215594
S3,mid_sector,44.5,2.8201729370776514
S3,mid_sector,44.75,2.8880241116653256
S3,mid_sector,45.0,3.004007074586845
S3,mid_sector,45.25,3.0641950504161684
S3,mid_sector,45.5,3.050350946685415
S3,mid_sector,45.75,3.1252509282147445
S3,mid_sector,46.0,3.300428792732145
S3,mid_sector,46.25,3.25363993126198
S3,mid_sector,46.5,3.3424681134165066
S3,mid_sector,46.75,3.3395999872184103
S3,mid_sector,47.0,3.4082614027894578
S3,mid_sector,47.25,3.3946442309721023
S3,mid_sector,47.5,3.3742910367518295
S3,mid_sector,47.75,3.333784823777942
S3,mid_sector,48.0,3.24204071432985
S3,mid_sector,48.25,3.173959831991313
S3,mid_sector,48.5,3.258716318690924
S3,mid_sector,48.75,3.199395040403766
S3,mid_sector,49.0,3.2581187329045047
S3,mid_sector,49.25,3.236538030600842
S3,mid_sector,49.5,3.2188417989377625
S3,mid_sector,49.75,3.3404778836850775
S3,mid_sector,50.0,3.4998547144477743
S3,mid_sector,50.25,3.5267756265334134
S3,mid_sector,50.5,3.497966218953074
S3,mid_sector,50.75,3.6538493271344983
S3,mid_sector,51.0,3.7280879429099003
S3,mid_sector,51.25,3.64416334585496
S3,mid_sector,51.5,3.541265711560662
S3,mid_sector,51.75,3.4926315253457907
S3,mid_sector,52.0,3.4676283769772382
S3,mid_sector,52.25,3.4287357159649883
S3,mid_sector,52.5,3.4372143638987596
S3,mid_sector,52.75,3.49729637098901
S3,mid_sector,53.0,3.4914495596709068
S3,mid_sector,53.25,3.611375956923874
S3,mid_sector,53.5,3.640850122428233
S3,mid_sector,53.75,3.7740483013671127
S3,mid_sector,54.0,3.908353969197215
S3,mid_sector,54.25,3.9447271357877747
S3,mid_sector,54.5,3.986976318406469
S3,mid_sector,54.75,4.05421416120176
S3,mid_sector,55.0,4.045714725428452
S3,mid_sector,55.25,4.246943708207872
S3,mid_sector,55.5,4.396731282693369
S3,mid_sector,55.75,4.738698902836552
S3,mid_sector,56.0,5.047020561020462
S3,mid_sector,56.25,4.60431546340754
S3,mid_sector,56.5,4.484043342919997
S3,mid_sector,56.75,4.551626675283173
S3,mid_sector,57.0,4.4842881838009685
S3,mid_sector,57.25,4.455257980591574
S3,mid_sector,57.5,4.184908145198116
S3,mid_sector,57.75,4.059974147259747
S3,mid_sector,58.0,4.062583370378282
S3,mid_sector,58.25,3.949096036604893
S3,mid_sector,58.5,3.7036456590252156
S3,mid_sector,58.75,3.417468315934546
S3,mid_sector,59.0,3.2713554203834057
S3,mid_sector,59.25,3.253875286290675
S3,mid_sector,59.5,3.178179697295767
S3,mid_sector,59.75,2.857775960220526
S3,mid_sector,60.0,2.636192464145614
S3,east_sector,10.0,9.77128549449514
S3,east_sector,10.25,9.705111823923193
S3,east_sector,10.5,10.012086781292005
S3,east_sector,10.75,9.889374499167447
S3,east_sector,11.0,9.777492208770614
S3,east_sector,11.25,9.734626916301497
S3,east_sector,11.5,9.803805455404614
S3,east_sector,11.75,9.849332562011927
S3,east_sector,12.0,9.883705386760827
S3,east_sector,12.25,9.972677348952173
S3,east_sector,12.5,9.96452687409243
S3,east_sector,12.75,10.003422306640347
S3,east_sector,13.0,10.131299868706947
S3,east_sector,13.25,10.205952384464325
S3,east_sector,13.5,10.087069946315015
S3,east_sector,13.75,9.889350905290808
S3,east_sector,14.0,9.755492297096856
S3,east_sector,14.25,9.73917782535683
