day,lat,Je_raw_profile_value
100,39.0,27.42352088328519
100,41.0,26.513566369598138
100,43.0,23.148335579615757
100,45.0,18.73825065071925
101,25.0,-5.649283042522494
101,27.0,-3.1527738424459995
101,29.0,1.0228653111247925
101,31.0,6.374167549896431
101,33.0,12.619614603789074
101,35.0,19.01722931562142
101,37.0,24.08569800499669
101,39.0,26.74063898512126
101,41.0,26.31124711273292
101,43.0,23.52890567167885
101,45.0,19.331512151625038
102,25.0,-5.610756356347901
102,27.0,-3.243569103570605
102,29.0,0.7698325224164947
102,31.0,5.934079395157114
102,33.0,12.050135075699425
102,35.0,18.390440449603958
102,37.0,23.58710237278665
102,39.0,26.428210115645854
102,41.0,26.185252012522763
102,43.0,23.50873680895024
102,45.0,19.333358406074897
103,25.0,-5.641432303603082
103,27.0,-3.44930805542308
103,29.0,0.4395086954365306
103,31.0,5.554702880962239
103,33.0,11.665061970869488
103,35.0,18.04866163655548
103,37.0,23.34162349810146
103,39.0,26.257588158488222
103,41.0,26.02613798708869
103,43.0,23.310182985825733
103,45.0,19.18104440451255
104,25.0,-5.713956455099771
104,27.0,-3.6298935907830545
104,29.0,0.1717608927134402
104,31.0,5.197865198810743
104,33.0,11.23181790745856
104,35.0,17.55895320511917
104,37.0,22.844761441029622
104,39.0,25.795860893327642
104,41.0,25.7226717899009
104,43.0,23.151322531176156
104,45.0,19.181293287357274
105,25.0,-5.6772706971006235
105,27.0,-3.744517930172458
105,29.0,-0.15330984504289724
105,31.0,4.753016226266509
105,33.0,10.677568820370471
105,35.0,16.86829895545755
105,37.0,22.102144141647365
105,39.0,25.181062064739113
105,41.0,25.36138217187979
105,43.0,23.023150524489104
105,45.0,19.240172359565168
106,25.0,-5.580068845799171
106,27.0,-3.794732004514763
106,29.0,-0.3326153719399282
106,31.0,4.42492543214481
106,33.0,10.17817428541466
106,35.0,16.142653733384485
106,37.0,21.265991864709395
106,39.0,24.397752567042
106,41.0,24.737073145029868
106,43.0,22.65519952546672
106,45.0,19.11813420535141
107,25.0,-5.402938796459201
107,27.0,-3.6598579509600233
107,29.0,-0.3734858641060581
107,31.0,4.161861471632503
107,33.0,9.65965860020534
107,35.0,15.340239115223389
107,37.0,20.24889269717264
107,39.0,23.40577138399696
107,41.0,23.946593215998742
107,43.0,22.1593030233583
107,45.0,18.961407495032038
108,25.0,-5.0189977126225
108,27.0,-3.4138891325819207
108,29.0,-0.40506546143684835
108,31.0,3.806624274590185
108,33.0,9.027566861081992
108,35.0,14.457803774936606
108,37.0,19.12491275629405
108,39.0,22.27987252823456
108,41.0,23.093591714102345
108,43.0,21.639536852650647
108,45.0,18.94136237451292
109,25.0,-4.63626565496537
109,27.0,-3.2416705162039583
109,29.0,-0.5216239480325234
109,31.0,3.387328352412694
109,33.0,8.314837841645867
109,35.0,13.521487290482485
109,37.0,18.085941996991057
109,39.0,21.405071729041072
109,41.0,22.564995195187553
109,43.0,21.349646263090595
109,45.0,18.853270863376153
110,25.0,-4.317576641505714
110,27.0,-3.1163014163707228
110,29.0,-0.6837515789156772
110,31.0,2.957688876377273
110,33.0,7.575675081503383
110,35.0,12.555318200004608
110,37.0,17.170413954355908
110,39.0,20.70918392533118
110,41.0,22.127815611127776
110,43.0,21.242251446371295
110,45.0,18.98103647388426
111,25.0,-4.062482470081527
111,27.0,-3.016283334133228
111,29.0,-0.9188732668509644
111,31.0,2.4597793036935593
111,33.0,6.87712994775786
111,35.0,11.738322462792214
111,37.0,16.316274569211245
111,39.0,19.89540824714029
111,41.0,21.64831035399804
111,43.0,21.20493285166241
111,45.0,19.320086719989707
112,25.0,-3.8343650513233145
112,27.0,-2.8773811725943967
112,29.0,-1.0729544311755803
112,31.0,1.9733230503271333
112,33.0,6.057353463359986
112,35.0,10.652212260614615
112,37.0,15.184837406050129
112,39.0,18.992441867075303
112,41.0,21.171516869836424
112,43.0,21.309360737581798
112,45.0,19.838221199771997
113,25.0,-3.5188546697071206
113,27.0,-2.785177391907553
113,29.0,-1.317406514448521
113,31.0,1.4386441282441464
113,33.0,5.335641951252456
113,35.0,9.828494815187197
113,37.0,14.31951450051609
113,39.0,18.248243261455606
113,41.0,20.687798219057818
113,43.0,21.22352037163304
113,45.0,20.165331891744195
114,25.0,-3.2312629273414335
114,27.0,-2.716318520449074
114,29.0,-1.501884554384326
114,31.0,0.9511257747528769
114,33.0,4.690782864560525
114,35.0,9.110078478006843
114,37.0,13.506473522777535
114,39.0,17.48177395628007
114,41.0,20.20108797061048
114,43.0,21.050384895481212
114,45.0,20.320325330547867
115,25.0,-2.7614588174265773
115,27.0,-2.488440622438253
115,29.0,-1.6694868058231773
115,31.0,0.4510588523724307
115,33.0,3.9763918021462548
115,35.0,8.304278707489
115,37.0,12.633681899492135
115,39.0,16.667232995363925
115,41.0,19.63532861664151
115,43.0,20.98821815680314
115,45.0,20.865980641132683
116,25.0,-2.400085371324041
116,27.0,-2.3533175215857374
116,29.0,-1.8131945339249436
116,31.0,0.035236899867704945
116,33.0,3.370548334324586
116,35.0,7.601216906245908
116,37.0,11.906598633535628
116,39.0,15.987740639488115
116,41.0,19.280478259443477
116,43.0,21.22306648340358
116,45.0,21.543519008948515
117,25.0,-2.2123713255121187
117,27.0,-2.3800772933486
117,29.0,-1.9854539800057593
117,31.0,-0.30180075517935206
117,33.0,2.8541559340816636
117,35.0,6.9170474868703336
117,37.0,11.267267883730158
117,39.0,15.542271057751734
117,41.0,19.202502813199647
117,43.0,21.637870540918744
117,45.0,22.32786248849434
118,25.0,-2.090095548677663
118,27.0,-2.379072144602637
118,29.0,-2.091995432393082
118,31.0,-0.5682283661239341
118,33.0,2.38061575607717
118,35.0,6.304254465182923
118,37.0,10.634799377457766
118,39.0,14.971026787157998
118,41.0,18.899239473298152
118,43.0,21.89454609650092
118,45.0,23.163615738812176
119,25.0,-2.0032997519604465
119,27.0,-2.3518737935745486
119,29.0,-2.2054786605248338
119,31.0,-0.880257122722133
119,33.0,1.9653747647864739
119,35.0,5.836179441059068
119,37.0,10.161536338476967
119,39.0,14.506049533005472
119,41.0,18.6082628327724
119,43.0,21.886285843658072
119,45.0,23.64972481964055
120,25.0,-1.8998105827836298
120,27.0,-2.433695390600121
120,29.0,-2.428444887952013
120,31.0,-1.1870303756770388
120,33.0,1.5590110502663985
120,35.0,5.42588612465867
120,37.0,9.799937641237987
120,39.0,14.314675493978466
120,41.0,18.601527271909386
120,43.0,22.15153774977561
120,45.0,24.171300031232885
121,25.0,-1.6809118157297995
121,27.0,-2.3762500122488617
121,29.0,-2.505007890179907
121,31.0,-1.4472609363960856
121,33.0,1.1786541054437774
121,35.0,5.101900812090679
121,37.0,9.564920571833515
121,39.0,14.170959908235876
121,41.0,18.528352590237148
121,43.0,22.251963309865264
121,45.0,24.530657708614314
122,25.0,-1.4434091915276788
122,27.0,-2.147333018555754
122,29.0,-2.327136864073385
122,31.0,-1.4470753322962622
122,33.0,0.9919285030575853
122,35.0,4.835286384019771
122,37.0,9.365565047097272
122,39.0,14.01013473219411
122,41.0,18.433229291055415
122,43.0,22.266290369942315
122,45.0,24.669374229861155
123,25.0,-1.310667614063374
123,27.0,-1.9135076167003395
123,29.0,-2.03151431946708
123,31.0,-1.1547836939774347
123,33.0,1.1540128650290478
123,35.0,4.887347529566093
123,37.0,9.42199294513378
123,39.0,14.053823563070752
123,41.0,18.40496661953331
123,43.0,22.277261611733824
123,45.0,24.796363552659564
124,25.0,-1.3698938944918642
124,27.0,-1.8271082663953346
124,29.0,-1.8133257095357302
124,31.0,-0.8578754292069596
124,33.0,1.4667316757672129
124,35.0,5.181084235605758
124,37.0,9.639556733087826
124,39.0,14.189907322527173
124,41.0,18.570099889169832
124,43.0,22.493176886410705
124,45.0,24.865667624687983
125,25.0,-1.4446799387737321
125,27.0,-1.8021795459996215
125,29.0,-1.6678448444586722
125,31.0,-0.5628066670845858
125,33.0,1.7930940215538127
125,35.0,5.463565648142668
125,37.0,9.859151066494885
125,39.0,14.38150905751978
125,41.0,18.70977720237728
125,43.0,22.459677084705277
