window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W045,95,V,46.0,,
W045,95,H,20.0,,
W045,95,Je,45.0,,
W045,95,Jw,46.0,,
W045,96,P,42.0,,
W045,96,V,45.0,,
W045,96,H,34.0,,
W045,96,Je,46.0,,
W045,96,Jw,40.0,,
W045,97,P,45.0,,
W045,97,V,46.0,,
W045,97,H,33.0,,
W045,97,Je,45.0,,
W045,97,Jw,42.0,,
W045,98,P,42.0,,
W045,98,V,45.0,,
W045,98,H,52.0,,
W045,98,Je,46.0,,
W045,98,Jw,40.0,,
W045,99,P,46.0,,
W045,99,V,47.0,,
W045,99,H,37.0,,
W045,99,Je,47.0,,
W045,99,Jw,42.0,,
W045,100,P,39.0,,
W045,100,V,41.0,,
W045,100,H,44.0,,
W045,100,Je,44.0,,
W045,100,Jw,41.0,,
W045,101,P,41.0,,
W045,101,V,43.0,,
W045,101,H,33.0,,
W045,101,Je,44.0,,
W045,101,Jw,45.0,,
W045,102,P,47.0,,
W045,102,V,48.0,,
W045,102,H,49.0,,
W045,102,Je,47.0,,
W045,102,Jw,40.0,,
W045,103,P,45.0,,
W045,103,V,46.0,,
W045,103,H,34.0,,
W045,103,Je,47.0,,
W045,103,Jw,40.0,,
W045,104,P,45.0,,
W045,104,V,46.0,,
W045,104,H,34.0,,
W045,104,Je,48.0,,
W045,104,Jw,40.0,,
W045,105,P,44.0,,
W045,105,V,41.0,,
W045,105,H,46.0,,
W045,105,Je,44.0,,
W045,105,Jw,42.0,,
W045,106,P,44.0,,
W045,106,V,45.0,,
W045,106,H,36.0,,
W045,106,Je,47.0,,
W045,106,Jw,38.0,,
W045,107,P,48.0,,
W045,107,V,49.0,,
W045,107,H,38.0,,
W045,107,Je,47.0,,
W045,107,Jw,45.0,,
W045,108,P,45.0,,
W045,108,V,45.0,,
W045,108,H,35.0,,
W045,108,Je,46.0,,
W045,108,Jw,47.0,,
W045,109,P,45.0,,
W045,109,V,43.0,,
W045,109,H,32.0,,
W045,109,Je,44.0,,
W045,109,Jw,50.0,,
W045,110,P,45.0,,
W045,110,V,45.0,,
W045,110,H,37.0,,
W045,110,Je,47.0,,
W045,110,Jw,44.0,,
W045,111,P,44.0,,
W045,111,V,45.0,,
W045,111,H,46.0,,
W045,111,Je,47.0,,
W045,111,Jw,39.0,,
W045,112,P,40.0,,
W045,112,V,49.0,,
W045,112,H,31.0,,
W045,112,Je,45.0,,
W045,112,Jw,32.0,,
W045,113,P,46.0,,
W045,113,V,46.0,,
W045,113,H,31.0,,
W045,113,Je,46.0,,
W045,113,Jw,41.0,,
W045,114,P,45.0,,
W045,114,V,46.0,,
W045,114,H,32.0,,
W045,114,Je,48.0,,
W045,114,Jw,40.0,,
W045,115,P,45.0,,
W045,115,V,46.0,,
W045,115,H,34.0,,
W045,115,Je,46.0,,
W045,115,Jw,41.0,,
W045,116,P,46.0,,
W045,116,V,46.0,,
W045,116,H,35.0,,
W045,116,Je,47.0,,
W045,116,Jw,41.0,,
W045,117,P,43.0,,
W045,117,V,46.0,,
W045,117,H,35.0,,
W045,117,Je,53.0,,
W045,117,Jw,49.0,,
W045,118,P,45.0,,
W045,118,V,45.0,,
W045,118,H,34.0,,
W045,118,Je,45.0,,
W045,118,Jw,44.0,,
W045,119,P,45.0,,
W045,119,V,45.0,,
W045,119,H,36.0,,
W045,119,Je,45.0,,
W045,119,Jw,46.0,,
W045,120,P,45.0,,
W045,120,V,44.0,,
W045,120,H,34.0,,
W045,120,Je,45.0,,
W045,120,Jw,49.0,,
W045,121,P,38.0,,
W045,121,V,42.0,,
W045,121,H,47.0,,
W045,121,Je,46.0,,
W045,121,Jw,42.0,,
W045,122,P,47.0,,
W045,122,V,48.0,,
W045,122,H,36.0,,
W045,122,Je,47.0,,
W045,122,Jw,39.0,,
W045,123,P,46.0,,
W045,123,V,48.0,,
W045,123,H,36.0,,
W045,123,Je,47.0,,
