window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,Je,CP001,112,102,122,within_system_window,candidate_window,system_relevant_first,CP002@133:weak_window,,CP002@133:weak_window,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,112,102,122,within_system_window,candidate_window,system_relevant_first,CP002@125:weak_window,,CP002@125:weak_window,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP003,114,104,124,within_system_window,weak_window,system_relevant_first,CP001@101:weak_window;CP002@131:accepted_window,,CP002@131:accepted_window,W113_P_earlier_minus_V_earlier,target_mode_mid,15,1983;1984;1985;1987;1988;1997;1999;2003;2005;2013;2014;2016;2018;2019;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP002,99,98,109,front_or_early,weak_window,system_relevant_first,CP001@124:candidate_window,,CP001@124:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_mid,15,1983;1984;1985;1987;1988;1997;1999;2003;2005;2013;2014;2016;2018;2019;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP002,109,109,119,within_system_window,unstable_window,system_relevant_first,CP001@122:weak_window,,,W113_P_earlier_minus_V_earlier,target_mode_mid,15,1983;1984;1985;1987;1988;1997;1999;2003;2005;2013;2014;2016;2018;2019;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,108,98,118,within_system_window,candidate_window,system_relevant_first,,,,W113_P_earlier_minus_V_earlier,target_mode_mid,15,1983;1984;1985;1987;1988;1997;1999;2003;2005;2013;2014;2016;2018;2019;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP002,111,101,121,within_system_window,candidate_window,system_relevant_first,CP001@99:unstable_window;CP003@129:candidate_window,,CP003@129:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_mid,15,1983;1984;1985;1987;1988;1997;1999;2003;2005;2013;2014;2016;2018;2019;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,117,107,127,within_system_window,accepted_window,system_relevant_first,CP002@133:candidate_window;CP003@136:weak_window;CP004@104:weak_window,,CP002@133:candidate_window;CP003@136:weak_window,W113_V_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1995;1996;1998;1999;2002;2006;2007;2008;2016;2019;2020;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,110,100,120,within_system_window,accepted_window,system_relevant_first,CP002@121:accepted_window;CP003@136:candidate_window,,CP003@136:candidate_window,W113_V_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1995;1996;1998;1999;2002;2006;2007;2008;2016;2019;2020;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,114,104,124,within_system_window,accepted_window,system_relevant_first,CP002@137:weak_window;CP003@105:weak_window,,CP002@137:weak_window,W113_V_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1995;1996;1998;1999;2002;2006;2007;2008;2016;2019;2020;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,115,105,125,within_system_window,accepted_window,system_relevant_first,,,,W113_V_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1995;1996;1998;1999;2002;2006;2007;2008;2016;2019;2020;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
