window,metric,n,mean,median,p25,p75,p90,min,max
S4,negative_peak_signed_r,308,0.024699445525217606,0.0279676774589169,-0.08031876529030962,0.12860336470700384,0.22828531101389507,-0.4012270753074453,0.4478262038447084
S4,D_pos_neg_CI90_low,308,-0.05840519529593045,-0.05321765241267455,-0.08487671682918793,-0.025668903673177774,-0.002850362095937105,-0.3356663571643033,0.1404640282019878
S4,D_pos_neg_CI90_high,308,0.06177769176416792,0.05654728257978315,0.02696753690950485,0.0932031809672661,0.12612785853383326,-0.1558381230639264,0.3143897212101633
S4,D_pos_neg_CI95_low,308,-0.07055325956861408,-0.06523132094269166,-0.09747267315052345,-0.035897788378483425,-0.014150957258052042,-0.3463726461801303,0.1176128275641822
S4,D_pos_neg_CI95_high,308,0.07420083613219171,0.07022171179663886,0.03600313282265212,0.10513240860701185,0.14326018515057085,-0.1352782535679839,0.3310644335800772
S4,P_D_pos_neg_gt_0,308,0.5118831168831168,0.5195000000000001,0.239,0.7927500000000001,0.935,0.0,1.0
S4,D_pos_0_CI90_low,308,-0.028002798324717207,-0.027372763820789597,-0.04031498210113508,-0.016728912939393374,-0.002263596384589646,-0.1179268776577562,0.1492341673440092
S4,D_pos_0_CI90_high,308,0.05595558397108555,0.0533715433303972,0.023437758596640875,0.08007553978343179,0.11695259796530827,-0.0640558243772015,0.3074641325134618
S4,D_pos_0_CI95_low,308,-0.032595637676255555,-0.03132483808476745,-0.04453395992026135,-0.020614020237678048,-0.00935992659902267,-0.1224349997090324,0.1378167265156078
S4,D_pos_0_CI95_high,308,0.06779078712330897,0.0655043719771221,0.03285665134327252,0.09171843988075412,0.13374382873294094,-0.0614061506312914,0.3209481232079642
S4,P_D_pos_0_gt_0,308,0.49405844155844153,0.4995,0.24425,0.75625,0.9343,0.0,1.0
S4,D_pos_neg_robustness,308,0.0010950866720601232,0.0005312961805271,-0.0270250093423215,0.03019977239658635,0.06672486885363145,-0.2732833432929771,0.2447672507210962
S4,D_pos_0_robustness,308,0.0029181766631841926,-0.00387272182673885,-0.020133415973884326,0.019161856352291125,0.04560833522484992,-0.0993651923954302,0.2317063219850811
S4,D_pos_neg_bootstrap_mean,308,0.0013826886914564188,0.00223611954958985,-0.021881767505493727,0.02601896735598495,0.05464465342085953,-0.2492237568301574,0.2319734232687723
S4,D_pos_neg_CI90_low_robustness,308,-0.05840519529593045,-0.05321765241267455,-0.08487671682918793,-0.025668903673177774,-0.002850362095937105,-0.3356663571643033,0.1404640282019878
S4,D_pos_neg_CI90_high_robustness,308,0.06177769176416792,0.05654728257978315,0.02696753690950485,0.0932031809672661,0.12612785853383326,-0.1558381230639264,0.3143897212101633
S4,D_pos_neg_CI95_low_robustness,308,-0.07055325956861408,-0.06523132094269166,-0.09747267315052345,-0.035897788378483425,-0.014150957258052042,-0.3463726461801303,0.1176128275641822
S4,D_pos_neg_CI95_high_robustness,308,0.07420083613219171,0.07022171179663886,0.03600313282265212,0.10513240860701185,0.14326018515057085,-0.1352782535679839,0.3310644335800772
S4,P_D_pos_neg_gt_0_robustness,308,0.5118831168831168,0.5195000000000001,0.239,0.7927500000000001,0.935,0.0,1.0
S4,D_pos_0_bootstrap_mean,308,0.007687784964652944,0.0051290380414158,-0.009818280428349575,0.02143585626102335,0.04108666734507705,-0.0906712394328801,0.2303938752609976
S4,D_pos_0_CI90_low_robustness,308,-0.028002798324717207,-0.027372763820789597,-0.04031498210113508,-0.016728912939393374,-0.002263596384589646,-0.1179268776577562,0.1492341673440092
S4,D_pos_0_CI90_high_robustness,308,0.05595558397108555,0.0533715433303972,0.023437758596640875,0.08007553978343179,0.11695259796530827,-0.0640558243772015,0.3074641325134618
S4,D_pos_0_CI95_low_robustness,308,-0.032595637676255555,-0.03132483808476745,-0.04453395992026135,-0.020614020237678048,-0.00935992659902267,-0.1224349997090324,0.1378167265156078
S4,D_pos_0_CI95_high_robustness,308,0.06779078712330897,0.0655043719771221,0.03285665134327252,0.09171843988075412,0.13374382873294094,-0.0614061506312914,0.3209481232079642
S4,P_D_pos_0_gt_0_robustness,308,0.49405844155844153,0.4995,0.24425,0.75625,0.9343,0.0,1.0
S4,D_pos_0_used,308,0.0029181766631841926,-0.00387272182673885,-0.020133415973884326,0.019161856352291125,0.04560833522484992,-0.0993651923954302,0.2317063219850811
S4,D_pos_0_CI90_low_used,308,-0.028002798324717207,-0.027372763820789597,-0.04031498210113508,-0.016728912939393374,-0.002263596384589646,-0.1179268776577562,0.1492341673440092
S4,D_pos_0_CI90_high_used,308,0.05595558397108555,0.0533715433303972,0.023437758596640875,0.08007553978343179,0.11695259796530827,-0.0640558243772015,0.3074641325134618
S4,P_D_pos_0_gt_0_used,308,0.49405844155844153,0.4995,0.24425,0.75625,0.9343,0.0,1.0
S4,D_pos_neg_used,308,0.0010950866720601232,0.0005312961805271,-0.0270250093423215,0.03019977239658635,0.06672486885363145,-0.2732833432929771,0.2447672507210962
S4,D_pos_neg_CI90_low_used,308,-0.05840519529593045,-0.05321765241267455,-0.08487671682918793,-0.025668903673177774,-0.002850362095937105,-0.3356663571643033,0.1404640282019878
S4,D_pos_neg_CI90_high_used,308,0.06177769176416792,0.05654728257978315,0.02696753690950485,0.0932031809672661,0.12612785853383326,-0.1558381230639264,0.3143897212101633
S4,P_D_pos_neg_gt_0_used,308,0.5118831168831168,0.5195000000000001,0.239,0.7927500000000001,0.935,0.0,1.0
T4,positive_peak_abs_r,308,0.16037884876286182,0.13079455386063465,0.07204467735367459,0.20726837811061782,0.3131543971797295,0.0109707273659681,0.6282099379798477
T4,lag0_abs_r,308,0.1311428014965506,0.08616453533146909,0.0333849305125891,0.1832422195958183,0.3241928411158687,0.0001820838927008,0.6173923055895794
T4,negative_peak_abs_r,308,0.1611090143550483,0.1349753591582683,0.07163160813652217,0.2136757181580488,0.3144118406589572,0.0152083512000663,0.6446552618465683
