mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.02490118577075099,0.004539739717882114,13,13,0.030003673791295142,0.05489720555326898,-0.024893531761973835,0.1138924730966111,0.7184563087382524,-0.15024270358477962,0.10330275812020868,formal_perm_boot,0.02614586235884968,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_spread_lat_transition,P_spread,45,0.05586297760210803,-0.002476313740200637,13,13,-0.20525989496366803,0.0730143599065717,-0.2782742548702397,1.1187770570849704,0.68126374725055,-1.6523592337801665,0.9748175578338912,formal_perm_boot,0.06977669034562002,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_total_strength_transition,P_strength,45,0.04519104084321475,0.15995033299063804,13,13,0.766153420103936,0.35425144364049055,0.4119019764634454,0.77968792345115,0.3877224555088982,-0.31879037166916707,1.2727746102386426,formal_perm_boot,0.06578613966638702,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_centroid_lat_transition,P_position,45,-0.04031620553359684,0.025361916451670297,13,13,-1.0223244846582866,-0.2229688950757933,-0.7993555895824933,2.9112719909006506,0.6624675064987002,-4.8805705686148215,3.6691099974342247,formal_perm_boot,0.0802839850127215,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_main_band_share_transition,P_rainband_structure,45,-0.03596837944664032,-0.010640774550462346,13,13,-0.04808059706978835,0.021490612945641505,-0.06957121001542986,0.14693335267057245,0.4427114577084583,-0.26805230177057904,0.1230538349476766,formal_perm_boot,0.03944693994741181,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_main_minus_south_transition,P_rainband_structure,45,-0.055072463768115934,-0.06092437322282804,13,13,-0.10492426526832731,0.027459516142887583,-0.1323837814112149,0.2541241447454722,0.39372125574885025,-0.46313986844875027,0.1981762768577219,formal_perm_boot,0.06169165283867668,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,0.08115942028985507,0.1214070695270985,13,13,0.05684366819853896,-0.00596890319724608,0.06281257139578504,0.11050719586850478,0.3599280143971206,-0.09558569554380839,0.20069449288688204,formal_perm_boot,0.08430004885964432,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_spread_lat_transition,P_spread,45,-0.03148880105401844,-0.054072229711855616,13,13,0.004205390133659828,0.1615779899116223,-0.15737259977796247,1.1229032948833082,0.8210357928414317,-1.600445901537981,1.286086201129367,formal_perm_boot,0.039357431042916564,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,signed_transition,P_total_strength_transition,P_strength,45,-0.12147562582345191,-0.15758956435445337,13,13,0.35873544925138506,1.014309136905181,-0.6555736876537961,0.7835901114201667,0.16876624675064986,-1.4707820626454362,0.12327264121285633,formal_perm_boot,0.15425431020614172,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,slope,P_centroid_lat_transition,P_position,45,-0.08247694334650855,0.002921207271172422,13,13,-1.1475834572908663,0.32586206740796303,-1.4734455246988294,2.967787148979029,0.41991601679664065,-5.329790979520235,2.315612197373785,formal_perm_boot,0.15614921958145003,False
