rep,point_id,null_global_peak_score,null_local_peak_score,null_local_peak_day,no_peak_in_local_window
63,LP006,52.16950401598369,0.0,,True
63,RP004,52.16950401598369,33.97453402744929,136.0,False
63,RP005,52.16950401598369,0.0,,True
64,RP001,30.234110373968313,0.0,,True
64,RP002,30.234110373968313,23.77002341886734,78.0,False
64,RP003,30.234110373968313,0.0,,True
64,LP006,30.234110373968313,30.234110373968313,129.0,False
64,RP004,30.234110373968313,0.0,,True
64,RP005,30.234110373968313,6.76855302749343,161.0,False
65,RP001,24.27138926765158,0.0,,True
65,RP002,24.27138926765158,15.734289429359244,78.0,False
65,RP003,24.27138926765158,21.23063500525991,110.0,False
65,LP006,24.27138926765158,10.324342001142858,134.0,False
65,RP004,24.27138926765158,10.324342001142858,134.0,False
65,RP005,24.27138926765158,0.0,,True
66,RP001,36.843808981897645,0.0,,True
66,RP002,36.843808981897645,21.25041985531134,79.0,False
66,RP003,36.843808981897645,0.0,,True
66,LP006,36.843808981897645,25.825413248110852,132.0,False
66,RP004,36.843808981897645,25.825413248110852,132.0,False
66,RP005,36.843808981897645,21.617648838241898,162.0,False
67,RP001,38.12046840861457,38.12046840861457,46.0,False
67,RP002,38.12046840861457,0.0,,True
67,RP003,38.12046840861457,27.624809663430085,112.0,False
67,LP006,38.12046840861457,15.068168166955385,130.0,False
67,RP004,38.12046840861457,0.0,,True
67,RP005,38.12046840861457,0.0,,True
68,RP001,61.91665291112818,39.37105997684063,46.0,False
68,RP002,61.91665291112818,0.0,,True
68,RP003,61.91665291112818,0.0,,True
68,LP006,61.91665291112818,0.0,,True
68,RP004,61.91665291112818,0.0,,True
68,RP005,61.91665291112818,0.0,,True
69,RP001,25.95005720757947,0.0,,True
69,RP002,25.95005720757947,7.16818939383258,81.0,False
69,RP003,25.95005720757947,0.0,,True
69,LP006,25.95005720757947,20.032698445154445,131.0,False
69,RP004,25.95005720757947,0.0,,True
69,RP005,25.95005720757947,15.989724982857577,157.0,False
70,RP001,45.854461887020875,19.766211450048992,48.0,False
70,RP002,45.854461887020875,8.19586656180807,80.0,False
70,RP003,45.854461887020875,0.0,,True
70,LP006,45.854461887020875,0.0,,True
70,RP004,45.854461887020875,0.0,,True
70,RP005,45.854461887020875,19.58638176140306,158.0,False
71,RP001,39.73812126411909,0.0,,True
71,RP002,39.73812126411909,20.802897853460145,82.0,False
71,RP003,39.73812126411909,0.0,,True
71,LP006,39.73812126411909,0.0,,True
71,RP004,39.73812126411909,0.0,,True
71,RP005,39.73812126411909,0.0,,True
72,RP001,41.08674879984395,41.08674879984395,42.0,False
72,RP002,41.08674879984395,32.57522419245806,81.0,False
72,RP003,41.08674879984395,0.0,,True
72,LP006,41.08674879984395,0.0,,True
72,RP004,41.08674879984395,0.0,,True
72,RP005,41.08674879984395,0.0,,True
73,RP001,60.87713914677806,0.0,,True
73,RP002,60.87713914677806,0.0,,True
73,RP003,60.87713914677806,18.705740157647917,114.0,False
73,LP006,60.87713914677806,15.032850971505134,132.0,False
73,RP004,60.87713914677806,15.032850971505134,132.0,False
73,RP005,60.87713914677806,0.0,,True
74,RP001,37.70543979723008,0.0,,True
74,RP002,37.70543979723008,0.0,,True
74,RP003,37.70543979723008,36.992443711770875,112.0,False
74,LP006,37.70543979723008,0.0,,True
74,RP004,37.70543979723008,0.0,,True
74,RP005,37.70543979723008,24.658981228450543,160.0,False
75,RP001,33.915569179640904,12.814419213893155,45.0,False
75,RP002,33.915569179640904,26.526401107913358,79.0,False
75,RP003,33.915569179640904,0.0,,True
75,LP006,33.915569179640904,9.610028701619017,132.0,False
75,RP004,33.915569179640904,9.610028701619017,132.0,False
75,RP005,33.915569179640904,33.915569179640904,160.0,False
76,RP001,50.49323767691057,0.0,,True
76,RP002,50.49323767691057,27.59912575161308,81.0,False
76,RP003,50.49323767691057,0.0,,True
76,LP006,50.49323767691057,0.0,,True
76,RP004,50.49323767691057,0.0,,True
76,RP005,50.49323767691057,0.0,,True
77,RP001,40.50194093956338,0.0,,True
77,RP002,40.50194093956338,15.924442264463678,81.0,False
77,RP003,40.50194093956338,40.50194093956338,116.0,False
77,LP006,40.50194093956338,0.0,,True
77,RP004,40.50194093956338,0.0,,True
77,RP005,40.50194093956338,0.0,,True
78,RP001,42.46179759858883,0.0,,True
78,RP002,42.46179759858883,0.0,,True
78,RP003,42.46179759858883,0.0,,True
78,LP006,42.46179759858883,42.46179759858883,129.0,False
78,RP004,42.46179759858883,0.0,,True
78,RP005,42.46179759858883,0.0,,True
79,RP001,58.462968207508666,0.0,,True
79,RP002,58.462968207508666,0.0,,True
79,RP003,58.462968207508666,0.0,,True
79,LP006,58.462968207508666,18.751967501955814,133.0,False
79,RP004,58.462968207508666,18.751967501955814,133.0,False
79,RP005,58.462968207508666,25.30233846583718,159.0,False
80,RP001,25.415554890613848,12.783680396607961,45.0,False
80,RP002,25.415554890613848,0.0,,True
80,RP003,25.415554890613848,25.415554890613848,115.0,False
80,LP006,25.415554890613848,0.0,,True
80,RP004,25.415554890613848,0.0,,True
80,RP005,25.415554890613848,8.567742847673859,159.0,False
81,RP001,67.15767713878228,0.0,,True
81,RP002,67.15767713878228,24.44841952923829,83.0,False
81,RP003,67.15767713878228,36.53049087242086,111.0,False
