object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
V,C1_buffered_stage,buffered_sensitivity,76,1.082400636840303,0.9430278859056401,0.5344057441103156,0.8816527098999004,0.7282010659828951,-0.15345164391700528,0.387599592710296,0.04902091158008709,0.05790146330616164,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,77,1.1651761754711496,0.861985102279495,0.5747821785368942,0.8472331507210952,0.7714655768277776,-0.07576757389331756,0.4445750056937188,0.04037643442657857,0.056975412983422846,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,78,1.2262298046737097,0.811804741197026,0.6016727278534976,0.8261032391932641,0.7926368828388939,-0.03346635635437023,0.4755997619693392,0.026890549316603396,0.031024756275620347,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,79,1.3055363109773614,0.765025233803598,0.6305228232737566,0.8068945049906167,0.8113244268262969,0.0044299218356802506,0.5033938270814584,0.02885009542025907,0.027794065112119237,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,80,1.3975104550700634,0.7269877827637342,0.6578073025351187,0.7847631227471741,0.8323154870282835,0.04755236428110943,0.5350208899584812,0.027284479261362016,0.03162706287702277,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,81,1.474701385355772,0.6935041938020035,0.6801483215113807,0.7591177366904688,0.8538446979180018,0.09472696122753299,0.56961990289034,0.02234101897626206,0.03459901293185885,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,82,1.5569807292010494,0.6460845546377996,0.706733813392949,0.7224723493846138,0.8819550976390421,0.15948274825442832,0.6171133942560592,0.026585491881568335,0.04749349136571912,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,83,1.637407811299625,0.6136185069232086,0.7274050054609511,0.6884707022313348,0.9041390408560772,0.21566833862474244,0.6583212920154061,0.020671192068002053,0.04120789775934697,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,84,1.7118295050373378,0.576979365588459,0.7479128235680493,0.6484270758484721,0.9263157808729022,0.2778887050244301,0.7039552433585983,0.02050781810709823,0.04563395134319215,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,85,1.79599915575316,0.5550787424427774,0.7639045720821466,0.6070087603147736,0.9459814052334959,0.33897264491872237,0.7487557114734983,0.015991748514097237,0.044800468114900016,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,86,1.882953016029722,0.5580159634990068,0.7713957169555093,0.5699636074557364,0.9604354338266206,0.3904718263708842,0.7865264813449846,0.007491144873362776,0.03777076987148631,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,87,1.9711819918321067,0.5783804951079484,0.7731451972365221,0.5343559901215239,0.9717693319260913,0.43741334180456737,0.8209545465465928,0.0017494802810127386,0.03442806520160824,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,88,2.0354914378000877,0.5949329076980484,0.7738262616386395,0.5042422018742027,0.979591211832454,0.47534900995825136,0.8487775012295692,0.0006810644021174594,0.027822954682976353,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,89,2.082540155457108,0.6027006465632057,0.7755506150101147,0.47515505579784684,0.9857973510990495,0.5106422953012026,0.8746624671864671,0.0017243533714751402,0.025884965956897932,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,90,2.0921379287522113,0.5860984263715283,0.7811625455497002,0.453549666809593,0.989603925366849,0.5360542585572561,0.8933002278083262,0.00561193053958553,0.018637760621859067,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,91,2.0589676715106617,0.5414583236633959,0.7917809141009016,0.44362837204351263,0.9910781762338393,0.5474498041903266,0.9016580020394865,0.010618368551201351,0.008357774231160353,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,92,2.0094457372524954,0.47575171783629844,0.8085658276922305,0.43046479184743985,0.9928918659841391,0.5624270741366992,0.9126427012229688,0.016784913591328943,0.010984699183482216,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,93,1.9417831463003268,0.3904195723216077,0.8325962107820966,0.4166822104177066,0.9945691838089475,0.577886973391241,0.9239813726448065,0.024030383089866048,0.011338671421837754,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,94,1.8523084415020779,0.2746557463784638,0.8708695952929277,0.39554737974078064,0.9966517282672058,0.6011043485264251,0.9410095682107031,0.03827338451083118,0.01702819556589663,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,95,1.7594872849669496,0.15844449679882985,0.9173878350078984,0.3759969142289791,0.9981255435079474,0.6221286292789683,0.9564292942650965,0.04651823971497071,0.015419726054393346,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,96,1.689136607297053,0.06972306738266856,0.960358936880303,0.357547357738658,0.9991548782378344,0.6416075204991765,0.970715593520428,0.042971101872404605,0.014286299255331536,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,97,1.6516826658993542,0.02993356891864072,0.9821995243035457,0.33785322297344045,0.9997988350627621,0.6619456120893217,0.9856320515187007,0.021840587423242686,0.01491645799827268,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,98,1.616683235963844,0.07398687026890392,0.9562381389508531,0.30856217429518507,0.9998829383793502,0.6913207640841651,1.007176512511111,-0.025961385352692656,0.021544460992410253,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,99,1.5794456265981787,0.14223367396211548,0.9173866620131707,0.28268183551334236,0.9989761748406858,0.7162943393273434,1.0254927485517664,-0.03885147693768243,0.018316236040655465,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,100,1.560583121341418,0.19643368348723908,0.8882004526380184,0.2584311946964756,0.9974856152990988,0.7390544206026233,1.042185553521948,-0.02918620937515226,0.016692804970181552,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,101,1.5618155600346535,0.23380558149918268,0.8697912515668735,0.22539530735458396,0.9946047018498345,0.7692093944952505,1.0643019551280029,-0.018409201071144854,0.02211640160605488,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,102,1.5732744635704796,0.2557994653817352,0.8601480993563393,0.1961195570972872,0.9909258477860341,0.7948062906887469,1.0830753501274353,-0.009643152210534245,0.018773394999432425,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,103,1.5777609621809066,0.2564443429736129,0.860187765102986,0.19268386198126514,0.9899342696329277,0.7972504076516627,1.0848679257906242,3.9665746646710964e-05,0.0017925756631889112,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,104,1.587638627130468,0.23494699636156907,0.8710913806554583,0.2061942052932756,0.9913963751640138,0.7852021698707382,1.076031451039992,0.010903615552472323,-0.008836474750632206,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,105,1.6014735392264945,0.20600789210764575,0.8860248915776762,0.21736682324737017,0.9931473334582382,0.7757805102108681,1.0691213734662157,0.01493351092221784,-0.006910077573776263,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,106,1.6046776749608245,0.22108431451290048,0.8789084690186655,0.202544303868347,0.9916940046550095,0.7891497007866625,1.0789266675770637,-0.007116422559010682,0.009805294110847962,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,107,1.5847992758162506,0.266049239224077,0.8562555297950573,0.18673732206740265,0.9896167719716858,0.8028794499042832,1.0889964042154336,-0.022652939223608226,0.010069736638369964,1.3634665543589848,True
V,C2_immediate_pre,immediate_pre_sensitivity,49,0.5001465542091296,1.9138353025973487,0.2071873708573713,0.99623364286894,0.3035034103521908,-0.6927302325167493,-0.04735968484406033,,,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,50,0.4059071952626532,1.8301869881242838,0.18152508882601676,0.9978675588092091,0.32610190977761244,-0.6717656490315966,-0.03080646047678809,-0.02566228203135454,0.01655322436727224,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,51,0.3543874544781944,1.8166074821238134,0.16323734731176925,0.9948879042726267,0.2854571877754956,-0.7094307164971312,-0.06054605978754923,-0.018287741514247502,-0.029739599310761144,1.2664954585284411,True
V,C2_immediate_pre,immediate_pre_sensitivity,52,0.337607611330925,1.8280809995494924,0.15588926756819269,0.9889128605329227,0.23576061900701617,-0.7531522415259065,-0.09506771932794428,-0.007348079743576569,-0.034521659540395044,1.2664954585284411,True
