mode,feature_index,lat,H18_profile_diff,H35_profile_diff,H18_contribution_fraction,H35_contribution_fraction,same_sign
raw,27,21.75,3.6599494391516303,2.4901681598577325,0.005424815762478034,0.0048334734266418,True
raw,28,22.0,3.878556586620633,2.7764233415874378,0.005748837588215358,0.005389101290025972,True
raw,29,22.25,4.104494030822754,3.0723471671218237,0.006083724457288002,0.00596349621246059,True
raw,30,22.5,4.336583504911818,3.3758149778243345,0.006427729930116456,0.006552534182874424,True
raw,31,22.75,4.575953568294209,3.6855353069042867,0.006782526769387317,0.007153708434650348,True
raw,32,23.0,4.822298665314766,3.999846134861088,0.007147662077277272,0.007763792949875126,True
raw,33,23.25,5.07577892342778,4.316411413794663,0.00752337319639241,0.008378253406075923,True
raw,34,23.5,5.336467238574975,4.633504386211389,0.007909768173868424,0.008993738127412443,True
raw,35,23.75,5.603418718533989,4.951263268934596,0.008305446480461146,0.009610515395904124,True
raw,36,24.0,5.877384193497472,5.269666891153479,0.00871152100462211,0.010228544118522354,True
raw,37,24.25,6.157735369397891,5.588415820033521,0.009127060482240242,0.010847243089277904,True
raw,38,24.5,6.443844398052493,5.9081488814916785,0.009551134310099605,0.011467852283905598,True
raw,39,24.75,6.734546237210332,6.22636863973942,0.009982015650255591,0.012085524122345098,True
raw,40,25.0,7.02951237188409,6.540842517066172,0.010419217574319965,0.01269592512013101,True
raw,41,25.25,7.330055295198675,6.850295977849845,0.010864685473482011,0.013296581374432197,True
raw,42,25.5,7.636991778481631,7.154186778812438,0.01131962997484073,0.013886440378627922,True
raw,43,25.75,7.9500304173163086,7.452507404677298,0.011783619155688173,0.014465487545394094,True
raw,44,26.0,8.268791076205563,7.744704544757067,0.012256089575170563,0.015032648886014955,True
raw,45,26.25,8.593831350316602,8.030101460469593,0.012737867706741275,0.015586610835404285,True
raw,46,26.5,8.925463261880187,8.306868531929922,0.01322941603305036,0.01612382205946451,True
raw,47,26.75,9.262862850609952,8.573929796704428,0.013729513271448031,0.01664219409047091,True
raw,48,27.0,9.605344420371653,8.83089375546022,0.014237143075872911,0.017140967019252457,True
raw,49,27.25,9.951557929057785,9.077849119350068,0.014750304399636637,0.01762031303618829,True
raw,50,27.5,10.299281191312588,9.315036048418218,0.015265703496105409,0.018080698297424293,True
raw,51,27.75,10.647864141932262,9.541985618794486,0.015782376831759752,0.01852121261098942,True
raw,52,28.0,10.996243405388308,9.75771417616826,0.01629874826014618,0.018939946681339706,True
raw,53,28.25,11.34413687857107,9.962669321649267,0.01681439964505235,0.019337769312479824,True
raw,54,28.5,11.69148067041949,10.156084531891674,0.017329236286471896,0.01971319266504105,True
raw,55,28.75,12.037417077877103,10.33745128645992,0.017841986887864383,0.02006522968921213,True
raw,56,29.0,12.383793523839257,10.509113160985644,0.01835538971898168,0.020398429318965246,True
raw,57,29.25,12.733177457976216,10.672318902009366,0.0188732502808757,0.020715215399933616,True
raw,58,29.5,13.084795813146457,10.82782525330243,0.01939442272525413,0.02101705678910791,True
raw,59,29.75,13.437518291241817,10.976216478428526,0.019917231712308213,0.021305087555445707,True
raw,60,30.0,13.790374103846231,11.116566990234585,0.020440238329181622,0.021577511113085653,True
raw,61,30.25,14.138980350079855,11.246248198027466,0.020956946193841308,0.02182922530729393,True
raw,62,30.5,14.483153614347394,11.367274731512559,0.021467083445752322,0.022064140580466563,True
raw,63,30.75,14.822069821777589,11.478765758914914,0.02196942863242593,0.022280547217956085,True
raw,64,31.0,15.155179380711312,11.579402308079208,0.022463167143293074,0.02247588506460269,True
raw,65,31.25,15.483986985543568,11.670244628358255,0.022950529252298093,0.02265221208868139,True
raw,66,31.5,15.80358533747354,11.746720564427415,0.023424241309263995,0.022800653631998274,True
raw,67,31.75,16.116464700767924,11.811881318611475,0.023887994410221287,0.022927132148142574,True
raw,68,32.0,16.425382815788087,11.868301885749055,0.02434587610709654,0.02303664576106707,True
raw,69,32.25,16.727875593450293,11.91428756472553,0.024794234100992234,0.023125905017097218,True
raw,70,32.5,17.023437402851926,11.950595243788896,0.025232318940437492,0.023196379053656197,True
raw,71,32.75,17.312049763436917,11.977353337769273,0.02566010323335668,0.023248317126870147,True
raw,72,33.0,17.59211906539751,11.992279245162344,0.026075224914440403,0.023277288654944397,True
raw,73,33.25,17.86070181624085,11.993917719951247,0.026473321107988473,0.02328046897203304,True
raw,74,33.5,18.1157324408064,11.985460729553283,0.0268513301966546,0.0232640537599936,True
raw,75,33.75,18.35035343720905,11.96510536482645,0.027199087918626963,0.023224543530892296,True
raw,76,34.0,18.56457946484654,11.935752119024045,0.02751661600221991,0.02316756820855916,True
raw,77,34.25,18.75691778102999,11.89801585237634,0.02780170188843432,0.02309432125078231,True
raw,78,34.5,18.92505065650189,11.851628809799392,0.02805091021445484,0.02300428293881185,True
raw,79,34.75,19.072835261548565,11.802589312972689,0.02826995811886923,0.022909096152397675,True
raw,80,35.0,19.1938939087051,11.746338530806007,0.028449392525873297,0.022799912095990013,True
