window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule
T1,P_south_band_share_18_24,Je_strength,P,Je,False,3,,False,0.001651657394671333,0.9824440103398161,lagged_direct_edge_control,source(t-tau)->target(t),0.9977106257491254,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_strength,P,Je,False,4,,False,-0.06232652694998394,0.40587137842118776,lagged_direct_edge_control,source(t-tau)->target(t),0.7718747128057319,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_strength,P,Je,False,5,,False,-0.10753930551837408,0.15074356087814736,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,1,,False,-0.04844860169988564,0.5219281533643584,lagged_direct_edge_control,source(t-tau)->target(t),0.826923205947646,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,2,,False,-0.014685411801633241,0.8461736311621896,lagged_direct_edge_control,source(t-tau)->target(t),0.9588722531197733,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,3,,False,-0.12995758362113805,0.08293695191495513,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,4,,False,-0.030280505868314878,0.6874046571573172,lagged_direct_edge_control,source(t-tau)->target(t),0.9098426507403942,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_axis_lat,P,Je,False,5,,False,0.027876820445439404,0.7110654578095491,lagged_direct_edge_control,source(t-tau)->target(t),0.9184929429724749,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,1,,False,-0.03477542685429412,0.6430410414754476,lagged_direct_edge_control,source(t-tau)->target(t),0.882605351044732,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,2,,False,-0.043257982722606614,0.5642141058969082,lagged_direct_edge_control,source(t-tau)->target(t),0.8443065525387284,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,3,,False,-0.06791236121771811,0.36502128752678076,lagged_direct_edge_control,source(t-tau)->target(t),0.7495709871596263,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,4,,False,-0.08068946226632456,0.28157962688770566,lagged_direct_edge_control,source(t-tau)->target(t),0.7089135282982664,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_meridional_width,P,Je,False,5,,False,-0.09201688583444535,0.219242977759507,lagged_direct_edge_control,source(t-tau)->target(t),0.6793444381280499,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_strength,P,Jw,False,1,,False,-0.07008715318264548,0.3498309803740558,lagged_direct_edge_control,source(t-tau)->target(t),0.7430892548635116,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_strength,P,Jw,False,2,,False,-0.04768064850618056,0.52503192976113,lagged_direct_edge_control,source(t-tau)->target(t),0.8283520963484104,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_strength,P,Jw,False,3,,False,-0.053503948553854444,0.47563475630792895,lagged_direct_edge_control,source(t-tau)->target(t),0.802275492567591,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Jw_strength,P,Jw,False,4,,False,-0.06560993752093013,0.3815409689133603,lagged_direct_edge_control,source(t-tau)->target(t),0.7571818197507408,False,graph_selected_and_window_BH_q_le_alpha
