window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
T1,P_total_centroid_lat_10_50,V_NS_diff,P,V,False,0,<--,True,0.32779707772982775,1.0701087684521141e-05,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.0016479675034162557,True,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,H_strength,P,H,False,0,,False,0.1151075457570005,0.13154309456737123,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,H_centroid_lat,P,H,False,0,,False,0.09224728489224432,0.22603424506032457,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7272003786060056,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,H_west_extent_lon,P,H,False,0,,False,-0.10569017668245739,0.1663772386204653,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,H_zonal_width,P,H,False,0,,False,0.04959244458385015,0.5157864022349706,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Je_strength,P,Je,False,0,,False,-0.03893239145021621,0.6100196690023624,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8698428613552204,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Je_axis_lat,P,Je,False,0,,False,0.10502550573854437,0.16907359149883783,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Je_meridional_width,P,Je,False,0,,False,-0.0497004881811839,0.5124302777608666,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Jw_strength,P,Jw,False,0,,False,0.058039906078188604,0.4468229780654567,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7909280301388543,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Jw_axis_lat,P,Jw,False,0,,False,0.059819157959285954,0.4303209421867405,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,Jw_meridional_width,P,Jw,False,0,,False,0.06890566947448581,0.3621274123761195,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_main_band_share,V,P,False,0,,False,-0.03050591993868754,0.6911782954174345,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_south_band_share_18_24,V,P,False,0,,False,-0.11050644817859392,0.1501870838671665,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_main_minus_south,V,P,False,0,,False,0.15196701638377122,0.6409012034457872,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8734405781473559,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_spread_lat,V,P,False,0,,False,-0.016585733664125017,0.828532039985672,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_north_band_share_35_45,V,P,False,0,,False,0.14401921221302555,0.05796704133031459,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_north_minus_main_35_45,V,P,False,0,,False,-0.049279125725242436,0.5208944687663499,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,P_total_centroid_lat_10_50,V,P,False,0,,False,-0.13554506638140845,0.07624766948996596,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,H_strength,V,H,False,0,x-x,True,0.2713802723189368,0.0003440203455922114,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.02648956661060028,True,tau0_graph_selected_and_window_BH_q_le_alpha
T1,V_strength,H_centroid_lat,V,H,False,0,,False,0.11311088467388375,0.13726480776835556,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
