baseline_config,field,day,R_diff,S_pattern,dR_diff,dS_pattern,dRdiff_smooth3,dSpattern_smooth3
C2_immediate_pre,H,28,-0.0073693380934634,-0.0044662410417666,-2.2730153217799878e-05,-0.0015410785850329999,-7.773302065950012e-05,-0.005270210558667866
C2_immediate_pre,H,29,-0.0074587596172096,-0.0105289188409994,-8.942152374620017e-05,-0.0060626777992328,-0.00010486763369560014,-0.007109906519469067
C2_immediate_pre,H,30,-0.0076612108413324,-0.0242548820151408,-0.00020245122412280037,-0.0137259631741414,-0.00011441083033176686,-0.0077569244180247
C2_immediate_pre,H,31,-0.0077125705844587,-0.0277370142958407,-5.135974312630003e-05,-0.0034821322806998997,2.0556002017999473e-06,0.0001393673601771337
C2_immediate_pre,H,32,-0.0074525928166042,-0.010110816760468,0.00025997776785450025,0.0176261975353727,0.00018343319844226687,0.0124365626221494
C2_immediate_pre,H,33,-0.0071109112460056,0.0130548058513074,0.0003416815705986004,0.023165622611775398,0.0003952001794931669,0.026794123540827663
C2_immediate_pre,H,34,-0.0065269700459792,0.0526453563266423,0.0005839412000264001,0.0395905504753349,0.0005493995563979999,0.03724866624879223
C2_immediate_pre,H,35,-0.0058043941474102,0.1016351819859087,0.0007225758985689992,0.048989825659266406,0.0006635062844661,0.04498497287855536
C2_immediate_pre,H,36,-0.0051203923926073,0.1480097244869735,0.0006840017548029008,0.04637454250106479,0.0007760445712982998,0.052614940973007535
C2_immediate_pre,H,37,-0.0041988363320843,0.2104901792456649,0.0009215560605229994,0.062480454758691406,0.0009158716224917669,0.0620950563131194
C2_immediate_pre,H,38,-0.0030567792799349,0.2879203509252669,0.0011420570521494004,0.077430171679602,0.0010413710354582333,0.07060377404608302
C2_immediate_pre,H,39,-0.0019962792862326,0.3598210466252226,0.0010604999937023,0.07190069569995566,0.0010163575595099332,0.06890788877193467
C2_immediate_pre,H,40,-0.0011497636535545,0.4172138455614689,0.0008465156326780997,0.057392798936246325,0.0009342343460893,0.06334002812778106
C2_immediate_pre,H,41,-0.000254076241667,0.4779404353086101,0.0008956874118875001,0.06072658974714118,0.0008823214054709665,0.05982038968511244
C2_immediate_pre,H,42,0.0006506849301803,0.5392822156805599,0.0009047611718473,0.06134178037194982,0.0007737722977005,0.05246088340255273
C2_immediate_pre,H,43,0.001171553239547,0.5745964957691271,0.0005208683093667,0.035314280088567185,0.0006122787001966334,0.041511800818326984
C2_immediate_pre,H,44,0.0015827598589229,0.602475837763591,0.0004112066193759001,0.027879341994463958,0.0004719890313368001,0.03200032052559413
C2_immediate_pre,H,45,0.0020666520241907,0.6352831772573423,0.0004838921652678002,0.03280733949375125,0.0003260815650786666,0.022107959946549943
C2_immediate_pre,H,46,0.002149797934783,0.6409203756087769,8.314591059229966e-05,0.0056371983514346136,0.00012060424791109999,0.008176831099172518
C2_immediate_pre,H,47,0.0019445726026562,0.6270063310611086,-0.00020522533212679987,-0.013914044547668314,-2.3187428318600094e-05,-0.00157208131777542
C2_immediate_pre,H,48,0.0019970897392349,0.630566933304016,5.251713657869993e-05,0.00356060224290744,4.146296028956668e-05,0.002811141639133985
C2_immediate_pre,H,49,0.0022741868156517,0.6493538005261789,0.0002770970764168,0.01878686722216283,0.00019187139540263338,0.013008662797072282
C2_immediate_pre,H,50,0.0025201867888641,0.6660323194523254,0.0002459999732124002,0.01667851892614658,0.0002908186230755334,0.019717172509011466
C2_immediate_pre,H,51,0.0028695456084615,0.6897184508310504,0.00034935881959740006,0.023686131378724995,0.0003589695947046,0.02433773102090009
C2_immediate_pre,H,52,0.0033510955997655,0.7223669935888791,0.0004815499913039998,0.03264854275782869,0.00035556667685380004,0.024107017053587237
C2_immediate_pre,H,53,0.0035868868194255,0.7383533706130871,0.0002357912196600002,0.01598637702420802,0.00030555097583129996,0.020716009301776455
C2_immediate_pre,H,54,0.0037861985359554,0.7518664787363798,0.00019931171652989984,0.01351310812329265,0.000322848474361,0.021888760066076873
C2_immediate_pre,H,55,0.0043196410228485,0.7880332737871097,0.0005334424868930999,0.03616679505072995,0.0004239448699535667,0.028742980923247268
