mode,year,object,window,strength
anomaly,1992,Je,Je46,2.686421518490643
anomaly,1993,Je,Je46,5.485669992639038
anomaly,1994,Je,Je46,3.7766896375397945
anomaly,1995,Je,Je46,4.817874178672808
anomaly,1996,Je,Je46,11.586357552102323
anomaly,1997,Je,Je46,1.4538742126900916
anomaly,1998,Je,Je46,-1.0170855799733305
anomaly,1999,Je,Je46,4.311932457496368
anomaly,2000,Je,Je46,10.85924675369119
anomaly,2001,Je,Je46,10.42567465550426
anomaly,2002,Je,Je46,2.7661526013554463
anomaly,2003,Je,Je46,4.923913821018574
anomaly,2004,Je,Je46,14.163626582589515
anomaly,2005,Je,Je46,4.8926265953928825
anomaly,2006,Je,Je46,18.202333530526495
anomaly,2007,Je,Je46,7.667878801099176
anomaly,2008,Je,Je46,5.769093816289771
anomaly,2009,Je,Je46,11.024793917469482
anomaly,2010,Je,Je46,3.680552911874278
anomaly,2011,Je,Je46,6.703526127947321
anomaly,2012,Je,Je46,4.503478283703771
anomaly,2013,Je,Je46,3.8078205623096832
anomaly,2014,Je,Je46,7.517918226755362
anomaly,2015,Je,Je46,13.10702439303919
anomaly,2016,Je,Je46,-1.3693976176024671
anomaly,2017,Je,Je46,9.436980494748042
anomaly,2018,Je,Je46,5.607457393974183
anomaly,2019,Je,Je46,7.240560563192874
anomaly,2020,Je,Je46,9.002851327378131
anomaly,2021,Je,Je46,8.650136899018639
anomaly,2022,Je,Je46,5.024239475133007
anomaly,2023,Je,Je46,13.572192277122234
anomaly,1979,Jw,E1,4.52674748720402
anomaly,1980,Jw,E1,4.0204004077073225
anomaly,1981,Jw,E1,0.353170727538519
anomaly,1982,Jw,E1,1.9502618038845694
anomaly,1983,Jw,E1,11.826139463947257
anomaly,1984,Jw,E1,8.827096142932945
anomaly,1985,Jw,E1,5.7751221315085335
anomaly,1986,Jw,E1,1.7441275223691688
anomaly,1987,Jw,E1,2.54277415297249
anomaly,1988,Jw,E1,4.7387830696435405
anomaly,1989,Jw,E1,12.185829044224564
anomaly,1990,Jw,E1,9.594792017506613
anomaly,1991,Jw,E1,12.972363812272222
anomaly,1992,Jw,E1,1.1819606600823658
anomaly,1993,Jw,E1,1.03798244553363
anomaly,1994,Jw,E1,7.184520922851424
anomaly,1995,Jw,E1,9.280106367749347
anomaly,1996,Jw,E1,6.625854635995013
anomaly,1997,Jw,E1,-7.914139335886686
anomaly,1998,Jw,E1,7.891740439281013
anomaly,1999,Jw,E1,19.94425158562431
anomaly,2000,Jw,E1,5.5330806089435915
anomaly,2001,Jw,E1,7.677848572398107
anomaly,2002,Jw,E1,7.439497350672978
anomaly,2003,Jw,E1,10.214812713556206
anomaly,2004,Jw,E1,0.6189832971156606
anomaly,2005,Jw,E1,6.964839442724913
anomaly,2006,Jw,E1,7.394789788640359
anomaly,2007,Jw,E1,0.3677949861951128
