mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
local_background_removed,P,pre_package,P_pre_package_strength,V,V_V45_strength,False,45,0.20615328701324384,0.2426877470355731,0.19801980198019803
local_background_removed,P,pre_package,P_pre_package_strength,Je,Je_Je46_strength,False,45,0.03561534911459582,-0.07760210803689063,0.801980198019802
local_background_removed,P,pre_package,P_pre_package_strength,Jw,Jw_Jw41_strength,False,45,-0.0745733951686547,-0.017391304347826084,0.6336633663366337
local_background_removed,P,pre_package,P_pre_package_strength,M,M_combined_strength,False,45,0.15861374470655296,0.216600790513834,0.31683168316831684
local_background_removed,P,pre_package,P_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,0.15861374470655296,0.216600790513834,0.32673267326732675
local_background_removed,P,pre_package,P_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,0.08663154250736095,0.133596837944664,0.5445544554455446
local_background_removed,P,pre_package,P_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,0.10293777719657837,0.1936758893280632,0.5643564356435643
local_background_removed,P,pre_package,P_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,0.1829598423107995,0.272463768115942,0.31683168316831684
local_background_removed,P,pre_package,P_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.20067048203541776,0.19380764163372857,0.16831683168316833
local_background_removed,V,pre_package,V_pre_package_strength,P,P_P45_strength,False,45,0.05913588370714794,0.006587615283267457,0.6732673267326733
local_background_removed,V,pre_package,V_pre_package_strength,V,V_V45_strength,True,45,0.17953952133359005,0.12779973649538867,0.19801980198019803
local_background_removed,V,pre_package,V_pre_package_strength,Je,Je_Je46_strength,False,45,0.049258362682992246,0.028326745718050064,0.7623762376237624
local_background_removed,V,pre_package,V_pre_package_strength,Jw,Jw_Jw41_strength,False,45,0.09770989251032286,0.17391304347826084,0.5445544554455446
local_background_removed,V,pre_package,V_pre_package_strength,M,M_combined_strength,False,45,0.1553281531871575,0.1826086956521739,0.2079207920792079
local_background_removed,V,pre_package,V_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,0.1553281531871575,0.1826086956521739,0.26732673267326734
local_background_removed,V,pre_package,V_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,0.16917869287965873,0.21251646903820817,0.22772277227722773
local_background_removed,V,pre_package,V_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,0.11306239438981948,0.18194993412384713,0.4752475247524752
local_background_removed,V,pre_package,V_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,0.17182429699254378,0.1732542819499341,0.2871287128712871
local_background_removed,V,pre_package,V_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.12336243432998806,0.10263504611330698,0.43564356435643564
local_background_removed,Je,pre_package,Je_pre_package_strength,P,P_P45_strength,False,45,-0.27690537015362504,-0.22463768115942026,0.0891089108910891
local_background_removed,Je,pre_package,Je_pre_package_strength,V,V_V45_strength,False,45,-0.18074302800553751,-0.17707509881422925,0.27722772277227725
local_background_removed,Je,pre_package,Je_pre_package_strength,Je,Je_Je46_strength,True,45,-0.13700393077547549,-0.2102766798418972,0.4752475247524752
local_background_removed,Je,pre_package,Je_pre_package_strength,Jw,Jw_Jw41_strength,False,45,0.0682946707727776,0.022002635046113304,0.6831683168316832
local_background_removed,Je,pre_package,Je_pre_package_strength,M,M_combined_strength,False,45,-0.2120044263364231,-0.17773386034255598,0.15841584158415842
local_background_removed,Je,pre_package,Je_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,-0.2120044263364231,-0.17773386034255598,0.18811881188118812
local_background_removed,Je,pre_package,Je_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,-0.12925270102286784,-0.1399209486166008,0.45544554455445546
local_background_removed,Je,pre_package,Je_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,-0.18959356095462665,-0.1789196310935441,0.2079207920792079
local_background_removed,Je,pre_package,Je_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,-0.19888036420330502,-0.1482213438735178,0.2376237623762376
local_background_removed,Je,pre_package,Je_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.25477303151105146,-0.219631093544137,0.12871287128712872
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,P,P_P45_strength,False,45,-0.16224006347116768,-0.11963109354413701,0.36633663366336633
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,V,V_V45_strength,False,45,-0.10640453096892355,-0.1171277997364954,0.45544554455445546
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,Je,Je_Je46_strength,False,45,0.12682273252998694,0.20079051383399207,0.38613861386138615
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,Jw,Jw_Jw41_strength,True,45,0.9999999999999997,0.9999999999999999,0.009900990099009901
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,M,M_combined_strength,False,45,0.3456538743932559,0.3292490118577075,0.04950495049504951
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.3456538743932559,0.3292490118577075,0.04950495049504951
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.5287255922876537,0.5110671936758893,0.009900990099009901
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.5291403983079737,0.4794466403162055,0.009900990099009901
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.37357348649565475,0.36508563899868246,0.019801980198019802
local_background_removed,Jw,main_cluster_source,Jw_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.06076220328290438,-0.014229249011857705,0.6831683168316832
local_background_removed,P,main_cluster_source,P_M_source_strength,P,P_P45_strength,True,45,1.0,0.9999999999999999,0.009900990099009901
local_background_removed,P,main_cluster_source,P_M_source_strength,V,V_V45_strength,False,45,0.6849947418895641,0.5845849802371541,0.009900990099009901
local_background_removed,P,main_cluster_source,P_M_source_strength,Je,Je_Je46_strength,False,45,0.19694307090406268,0.23017127799736492,0.21782178217821782
local_background_removed,P,main_cluster_source,P_M_source_strength,Jw,Jw_Jw41_strength,False,45,-0.1622400634711678,-0.11963109354413701,0.2871287128712871
local_background_removed,P,main_cluster_source,P_M_source_strength,M,M_combined_strength,False,45,0.6926536152059418,0.664558629776021,0.009900990099009901
local_background_removed,P,main_cluster_source,P_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.6926536152059418,0.664558629776021,0.009900990099009901
local_background_removed,P,main_cluster_source,P_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.3729084979045597,0.38695652173913037,0.019801980198019802
local_background_removed,P,main_cluster_source,P_M_source_strength,M_minus_V,M_minus_V_strength,False,45,0.5676062602469527,0.5710144927536231,0.009900990099009901
