day,detector_score,score_valid,object
110,14.277789757541305,True,V
111,16.650406213534104,True,V
112,18.494079195534308,True,V
113,19.59434522224982,True,V
114,20.004865865386734,True,V
115,19.743516174760764,True,V
116,18.926013726039233,True,V
117,17.878941440245736,True,V
118,16.6755871013496,True,V
119,15.352789043376896,True,V
120,14.26555932340824,True,V
121,13.507099109014508,True,V
122,12.779736687982352,True,V
123,11.806308605857426,True,V
124,10.505037043596552,True,V
125,8.96149651115969,True,V
126,7.17056149794948,True,V
127,5.285658467481652,True,V
128,3.927745459460759,True,V
129,3.3617180024645705,True,V
130,3.4190251240350555,True,V
131,3.874254144604839,True,V
132,4.58666703490997,True,V
133,5.5031504187055695,True,V
134,6.653392937766398,True,V
135,7.837632064477557,True,V
136,8.498506242322458,True,V
137,8.277366218978703,True,V
138,7.554137883974091,True,V
139,6.7707832662312075,True,V
140,,False,V
141,,False,V
142,,False,V
143,,False,V
144,,False,V
145,,False,V
146,,False,V
147,,False,V
148,,False,V
149,,False,V
88,,False,H
89,,False,H
90,,False,H
91,,False,H
92,,False,H
93,,False,H
94,,False,H
95,,False,H
96,,False,H
97,,False,H
98,10.57385056422308,True,H
99,8.69885324553742,True,H
100,6.922534860536156,True,H
101,5.636544348492095,True,H
102,4.832076308487749,True,H
103,4.350848257978116,True,H
104,4.25757795457979,True,H
105,4.7811384151796945,True,H
106,6.190412221060018,True,H
107,8.586263652550512,True,H
108,12.00134660251077,True,H
109,16.25384613655767,True,H
110,20.68610279548941,True,H
111,24.611441329409402,True,H
112,28.10977856347503,True,H
113,31.397895680457076,True,H
114,33.97293719395715,True,H
115,34.607065236011024,True,H
116,32.5957654819208,True,H
117,28.40077459871698,True,H
118,22.85703773172525,True,H
119,16.996943659561367,True,H
120,11.782860271798366,True,H
121,7.481877108423486,True,H
122,4.000236236976731,True,H
123,1.5754374390113863,True,H
124,0.5508324541099814,True,H
125,0.8067738946414735,True,H
126,1.8383660293745754,True,H
127,3.0811810324442366,True,H
128,3.9586498457071704,True,H
129,4.241067494898854,True,H
130,4.15697809347793,True,H
131,3.819912911943309,True,H
132,3.1728981625036172,True,H
133,2.4000696259621668,True,H
134,1.7674553650420197,True,H
135,1.2894168648661601,True,H
136,0.8991200817685452,True,H
137,0.6436161462413115,True,H
138,0.5473840983700522,True,H
139,0.5700456992938472,True,H
140,,False,H
141,,False,H
142,,False,H
143,,False,H
144,,False,H
145,,False,H
146,,False,H
147,,False,H
148,,False,H
149,,False,H
88,,False,Je
89,,False,Je
90,,False,Je
91,,False,Je
92,,False,Je
93,,False,Je
94,,False,Je
95,,False,Je
96,,False,Je
97,,False,Je
98,7.7147048331992805,True,Je
99,8.025558597418406,True,Je
100,8.442616051620583,True,Je
101,8.822241314475939,True,Je
102,9.165242255288085,True,Je
103,9.797636407812524,True,Je
104,10.84306222495865,True,Je
105,12.148908320994156,True,Je
106,13.627491080921544,True,Je
107,15.007958053776406,True,Je
108,15.954546190829195,True,Je
109,16.4185735104349,True,Je
110,16.616007311174407,True,Je
111,16.652666002833563,True,Je
112,16.52608405744318,True,Je
113,15.97026287747683,True,Je
114,14.979102104031966,True,Je
115,13.700008757934901,True,Je
116,12.08899032801864,True,Je
117,10.207532071216573,True,Je
118,8.155632810917906,True,Je
119,6.03625809555917,True,Je
120,4.0916696042531235,True,Je
121,2.477748873347459,True,Je
122,1.3547048205209187,True,Je
