window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta,classified_type,directional_bias,P_near_null,P_separation_gt_null,support_basis,null_n,null_E_median,null_E_q025,null_E_q975
W045,SEG00198,P,Jw,C0_full_stage,pattern,4,10,4,10,7,negative,-0.040432149004064964,0.040432149004064964,-0.28302504302845477,0.28302504302845477,0.08972811296295925,uncertain_segment,negative,0.591,0.409,same_object_reproducibility_null,2000,0.050636534931213506,0.002580741719959282,0.21336419095736453
W045,SEG00199,P,Jw,C0_full_stage,pattern,11,18,11,18,8,positive,0.054125935454834725,0.054125935454834725,0.4330074836386778,0.4330074836386778,0.09206056057098086,uncertain_segment,positive,0.487,0.513,same_object_reproducibility_null,2000,0.05243495966736016,0.0023192980628309262,0.2125432181048289
W045,SEG00200,P,Jw,C0_full_stage,pattern,19,22,19,22,4,negative,-0.02300307156410722,0.02300307156410722,-0.09201228625642888,0.09201228625642888,0.04387117261748194,uncertain_segment,negative,0.791,0.209,same_object_reproducibility_null,2000,0.05920143304775024,0.003142201357306934,0.2065736922777566
W045,SEG00201,P,Jw,C0_full_stage,pattern,23,32,23,32,10,positive,0.14288241452400416,0.14288241452400416,1.4288241452400416,1.4288241452400416,0.2608354553542765,uncertain_segment,positive,0.1265,0.8735,same_object_reproducibility_null,2000,0.054299937341368315,0.002611960594384404,0.23809750589038928
W045,SEG00202,P,Jw,C0_full_stage,pattern,33,42,33,42,10,negative,-0.2026603357194631,0.2026603357194631,-2.026603357194631,2.026603357194631,0.380530883531501,uncertain_segment,negative,0.204,0.796,same_object_reproducibility_null,2000,0.11051776092631785,0.005450548822876196,0.36295806217441207
W045,SEG00203,P,Jw,C0_full_stage,pattern,43,58,43,58,16,positive,0.1685601240630012,0.1685601240630012,2.696961985008019,2.696961985008019,0.310970935586909,uncertain_segment,positive,0.198,0.802,same_object_reproducibility_null,2000,0.0554944626313551,0.002347056680881173,0.42005202880819903
W045,SEG00204,P,Jw,C0_full_stage,pattern,59,74,59,74,16,negative,-0.10619872253060006,0.10619872253060006,-1.699179560489601,1.699179560489601,0.25910606487001253,uncertain_segment,negative,0.151,0.849,same_object_reproducibility_null,2000,0.021344967190586192,0.0010734947992358502,0.20925714410843238
W045,SEG00205,P,Jw,C1_buffered_stage,dist,4,15,4,15,12,negative,-0.05103052477199857,0.05103052477199857,-0.6123662972639828,0.6123662972639828,0.08112996320125294,B_dominant_segment,negative,0.0135,0.9865,same_object_reproducibility_null,2000,0.01448080161201212,0.0006937505302463941,0.04662906703953721
W045,SEG00206,P,Jw,C1_buffered_stage,dist,16,17,16,17,2,positive,0.0017171628109152529,0.0017171628109152529,0.0034343256218305057,0.0034343256218305057,0.0034158323969246535,short_uncertain,positive,,,too_short_for_primary_segment,2000,0.018413569308120548,0.0007647557296438601,0.06250102332895209
W045,SEG00207,P,Jw,C1_buffered_stage,dist,18,18,18,18,1,negative,-0.007238373812160373,0.007238373812160373,-0.007238373812160373,0.007238373812160373,0.007238373812160373,short_uncertain,negative,,,too_short_for_primary_segment,2000,0.0199501630779974,0.001176412258296657,0.07175192352222223
